,DomainLength,TLD,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,IsHTTPS,HasTitle,HasFavicon,NoOfURLRedirect,HasDescription,NoOfiFrame,HasHiddenFields,HasPasswordField,NoOfImage,NoOfCSS,NoOfJS,label
0,24,231,1,18,0.581,0,0.0,1,1,0,0,0,1,1,0,34,20,28,1
1,16,254,1,9,0.391,0,0.0,1,1,1,0,0,0,0,0,50,9,8,1
7,18,231,1,12,0.48,0,0.0,1,1,1,0,1,1,0,0,24,2,22,1
10,26,231,1,20,0.606,0,0.0,1,1,1,0,1,5,0,0,80,13,10,1
14,19,231,1,13,0.5,0,0.0,1,1,1,0,0,2,1,0,63,12,22,1
15,17,231,1,11,0.458,0,0.0,1,1,1,0,0,0,0,0,12,14,19,1
22,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,1,0,49,2,4,1
25,18,231,1,12,0.48,0,0.0,1,1,0,0,0,0,0,0,14,2,4,1
30,14,231,1,8,0.381,0,0.0,1,1,1,0,1,1,1,0,13,17,29,1
42,17,231,1,11,0.458,0,0.0,1,1,0,0,1,3,1,0,2,11,24,1
46,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,1,1,1,1
48,17,231,1,11,0.458,0,0.0,1,1,0,0,0,0,0,0,23,1,5,1
62,18,231,1,12,0.48,0,0.0,1,1,0,0,1,2,1,0,49,26,29,1
64,17,231,1,11,0.458,0,0.0,1,1,1,0,1,2,1,0,23,2,9,1
70,15,231,1,9,0.409,0,0.0,1,1,1,0,1,2,1,0,39,1,9,1
74,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,0,0,65,6,11,1
75,27,189,1,21,0.618,0,0.0,1,1,0,0,1,2,0,0,19,13,29,1
78,27,231,1,21,0.618,0,0.0,1,1,1,0,1,3,0,0,25,2,20,1
81,19,231,1,13,0.5,0,0.0,1,1,1,0,1,2,0,0,18,27,16,1
86,24,231,1,18,0.581,0,0.0,1,1,1,0,0,0,0,0,42,7,11,1
94,17,231,1,11,0.458,0,0.0,1,1,0,0,1,5,1,0,39,5,5,1
96,27,231,1,21,0.618,0,0.0,1,1,1,0,1,2,1,0,48,9,14,1
98,33,231,1,27,0.675,0,0.0,1,1,0,0,0,3,0,0,15,2,10,1
102,11,231,1,5,0.278,0,0.0,1,1,1,0,1,0,1,0,8,1,8,1
105,23,231,1,17,0.567,0,0.0,1,1,1,0,1,2,0,0,100,4,16,1
107,18,254,1,12,0.48,0,0.0,1,1,1,0,1,0,0,0,64,1,2,1
112,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,0,0,1,2,7,1
117,19,231,1,13,0.5,0,0.0,1,1,0,0,1,0,0,0,10,1,0,1
122,14,254,1,8,0.381,0,0.0,1,1,0,0,0,0,1,0,4,4,2,1
124,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,1,0,8,1,3,1
127,23,254,1,17,0.567,0,0.0,1,1,0,0,1,0,0,0,3,1,5,1
134,23,231,1,17,0.567,0,0.0,1,1,1,0,0,0,0,0,45,6,5,1
135,27,231,1,21,0.618,0,0.0,1,1,1,0,1,2,0,0,5,1,5,1
