,DomainLength,TLD,TLDLength,NoOfSubDomain,LetterRatioInURL,label
0,19,com,3,1,0.9444444444444444,1
1,23,com,3,0,0.9777777777777777,0
2,50,com,3,3,0.9473684210526315,0
3,11,in,2,1,0.9,1
4,15,com,3,1,0.9285714285714286,1
5,24,es,2,2,0.9090909090909091,0
6,12,it,2,1,0.9090909090909091,1
7,27,com,3,1,0.9615384615384616,0
8,34,com,3,1,0.9696969696969697,1
9,10,com,3,0,0.9473684210526315,1
10,22,eu,2,1,0.9523809523809523,1
11,16,com,3,1,0.9333333333333333,1
12,14,net,3,0,0.9629629629629629,1
13,10,house,5,0,0.9473684210526315,0
14,16,com,3,1,0.9333333333333333,1
15,23,uk,2,2,0.9302325581395349,0
16,22,com,3,1,0.9523809523809523,1
17,21,com,3,1,0.95,0
18,23,com,3,1,0.9545454545454546,0
19,19,com,3,1,0.8125,1
20,14,uk,2,2,0.88,1
21,16,com,3,1,0.9333333333333333,1
22,11,net,3,0,0.9523809523809523,0
23,16,com,3,0,0.9333333333333333,1
24,50,com,3,3,0.9473684210526315,0
25,32,com,3,1,0.967741935483871,0
26,27,com,3,1,0.9615384615384616,1
27,24,com,3,1,0.9090909090909091,1
28,42,com,3,3,0.95,0
29,14,pe,2,1,0.9230769230769231,0
30,18,com,3,1,0.9411764705882353,1
31,17,com,3,1,0.9375,0
32,28,com,3,3,0.6976744186046512,0
33,14,com,3,0,0.9629629629629629,0
34,17,com,3,1,0.9375,1
35,26,it,2,1,0.96,1
36,24,com,3,0,0.9787234042553191,0
37,34,com,3,1,0.9032258064516129,1
38,12,cn,2,1,0.8571428571428571,1
39,24,com,3,1,0.9333333333333333,1
40,30,com,3,0,0.9830508474576272,0
41,17,com,3,1,0.9375,0
42,26,fr,2,1,0.9387755102040817,0
43,8,hu,2,0,0.9333333333333333,1
44,22,org,3,1,0.9523809523809523,1
45,27,com,3,1,0.9411764705882353,0
46,23,com,3,1,0.9302325581395349,1
47,32,com,3,1,0.967741935483871,0
48,11,gov,3,1,0.9,1
49,14,net,3,0,0.9629629629629629,0
50,22,com,3,1,0.8717948717948718,0
51,19,com,3,1,0.9444444444444444,0
52,20,fr,2,2,0.918918918918919,0
53,16,org,3,1,0.9333333333333333,1
54,26,uk,2,2,0.9387755102040817,0
55,19,com,3,1,0.9444444444444444,0
56,27,com,3,1,0.9615384615384616,0
57,31,com,3,1,0.9666666666666667,1
58,16,com,3,1,0.9333333333333333,0
59,15,com,3,1,0.9285714285714286,0
60,27,com,3,1,0.9615384615384616,1
61,35,com,3,3,0.90625,0
62,19,com,3,1,0.9444444444444444,1
63,18,com,3,1,0.9090909090909091,1
64,32,com,3,3,0.8363636363636363,0
65,24,com,3,1,0.9565217391304348,0
66,24,com,3,2,0.9333333333333333,0
67,12,com,3,0,0.9565217391304348,1
68,16,com,3,1,0.9333333333333333,1
69,17,com,3,1,0.9375,1
70,21,de,2,0,0.95,0
71,16,org,3,1,0.9333333333333333,1
72,15,com,3,1,0.9285714285714286,1
73,13,hu,2,0,0.96,0
74,17,com,3,0,0.9696969696969697,0
75,38,com,3,2,0.9444444444444444,0
76,12,pro,3,0,0.9565217391304348,1
77,25,com,3,1,0.9583333333333334,0
78,16,org,3,1,0.9333333333333333,1
79,29,com,3,1,0.9454545454545454,0
80,18,com,3,0,0.9714285714285714,0
81,24,com,3,1,0.7368421052631579,0
82,11,com,3,0,0.9523809523809523,1
83,19,il,2,2,0.9142857142857143,1
84,22,au,2,1,0.9523809523809523,0
85,12,com,3,1,0.9090909090909091,1
86,23,com,3,1,0.9545454545454546,1
87,20,com,3,1,0.9473684210526315,1
88,24,com,3,1,0.9565217391304348,0
89,21,com,3,1,0.95,1
90,19,com,3,0,0.972972972972973,1
91,10,uz,2,0,0.9473684210526315,0
92,25,com,3,1,0.9583333333333334,1
93,10,vn,2,1,0.8888888888888888,0
94,9,vn,2,0,0.9411764705882353,1
95,16,com,3,1,0.9333333333333333,1
96,19,com,3,1,0.9142857142857143,1
97,16,com,3,1,0.896551724137931,1
98,9,porn,4,0,0.9411764705882353,1
99,12,com,3,0,0.9565217391304348,0
100,21,uk,2,2,0.9230769230769231,1
101,20,pl,2,1,0.9473684210526315,0
102,15,com,3,1,0.9285714285714286,1
103,6,ly,2,0,0.9090909090909091,0
104,14,com,3,1,0.9230769230769231,0
105,20,vn,2,1,0.9473684210526315,0
106,21,my,2,2,0.9230769230769231,1
107,50,com,3,3,0.9473684210526315,0
108,13,77,2,2,0.0,0
109,19,com,3,1,0.9444444444444444,1
110,23,com,3,1,0.9545454545454546,1
111,15,net,3,1,0.9285714285714286,0
112,13,com,3,0,0.96,1
113,20,fr,2,1,0.9473684210526315,0
114,19,com,3,1,0.9444444444444444,1
115,22,com,3,1,0.926829268292683,1
116,19,com,3,1,0.9444444444444444,0
117,15,ru,2,1,0.9285714285714286,1
118,20,com,3,1,0.918918918918919,1
119,12,com,3,1,0.8,0
